Sample_ID,Plant_Health_Status,Health_Status_Code,SPR_Signal_Intensity,Colorimetric_Response,Fluorescence_Intensity,Leaf_Temperature_C,VOC_Level,Ambient_Temperature_C,Relative_Humidity_pct,pH,SPR_Signal_Variability,Sensor_Noise_Level
PHB_04820,Moderate Illness,2,0.465,0.5322,0.5842,27.251,1.3057,22.431,58.186,6.039,0.0605,0.0848
PHB_03466,Severe Disease,3,0.3561,0.7137,0.352,28.042,1.6529,23.252,65.361,6.489,0.0599,0.0602
PHB_01761,Early Disease,1,0.6553,0.3069,0.7026,24.76,1.0944,26.097,61.355,6.576,0.0485,0.0445
PHB_02305,Early Disease,1,0.6717,0.2682,0.7646,25.257,1.1624,24.833,62.813,6.343,0.027,0.0418
PHB_03724,Early Disease,1,0.6922,0.2583,0.8764,24.59,1.1892,26.647,64.133,6.434,0.0228,0.0448
PHB_08285,Healthy,0,0.7918,0.0,0.8551,24.122,1.0391,23.277,56.998,6.518,0.0205,0.0267
PHB_04994,Early Disease,1,0.6397,0.4208,0.7494,26.142,1.2237,26.303,68.721,6.491,0.0466,0.0354
PHB_08128,Moderate Illness,2,0.5049,0.4639,0.572,28.083,1.2881,29.468,84.155,6.189,0.0307,0.0753
PHB_03033,Early Disease,1,0.7402,0.4151,0.7812,25.062,1.299,26.242,60.098,6.352,0.0557,0.0683
PHB_07939,Healthy,0,0.9498,0.1715,0.8499,25.231,1.1139,26.456,72.931,6.478,0.0191,0.0407
PHB_03040,Moderate Illness,2,0.5572,0.5249,0.6161,26.283,1.2528,27.526,68.536,6.939,0.0489,0.0533
PHB_09656,Severe Disease,3,0.3995,0.6952,0.4541,27.021,1.4053,23.939,66.226,6.15,0.0672,0.0543
PHB_02546,Early Disease,1,0.6066,0.2123,0.7213,26.936,1.314,25.823,71.583,6.276,0.0296,0.0551
PHB_02593,Moderate Illness,2,0.5332,0.5098,0.433,25.621,1.2028,22.478,62.852,6.279,0.0443,0.0571
PHB_01189,Healthy,0,0.8387,0.0651,0.9653,24.16,1.2047,25.751,84.951,6.605,0.0467,0.0352
PHB_07967,Moderate Illness,2,0.5207,0.6988,0.5652,27.643,1.1165,23.117,78.459,6.165,0.0491,0.0395
PHB_06078,Early Disease,1,0.6086,0.306,0.6304,25.544,1.1994,29.184,68.702,6.122,0.0337,0.0414
PHB_00108,Early Disease,1,0.6088,0.4063,0.6845,25.19,1.2346,24.828,71.829,6.32,0.0337,0.0406
PHB_01316,Moderate Illness,2,0.4946,0.5345,0.4885,26.253,1.2393,21.471,63.876,6.36,0.0442,0.0409
PHB_08188,Early Disease,1,0.8141,0.2539,0.6308,25.618,1.4573,25.543,68.301,6.331,0.0351,0.0425
PHB_02754,Healthy,0,0.7379,0.0907,0.9634,22.522,1.2267,26.897,60.399,6.912,0.0405,0.0426
PHB_09754,Healthy,0,0.7966,0.1675,0.8223,24.889,1.1769,27.543,59.195,6.491,0.0388,0.0283
PHB_06232,Early Disease,1,0.5636,0.3216,0.7222,25.923,1.1702,26.27,74.82,6.365,0.0303,0.0463
PHB_02877,Early Disease,1,0.6602,0.4462,0.5382,25.143,1.3054,22.483,74.081,6.202,0.0406,0.0552
PHB_05324,Healthy,0,0.7663,0.0638,0.8766,23.972,0.9397,29.1,68.76,6.55,0.0282,0.0379
PHB_00800,Moderate Illness,2,0.4454,0.4459,0.6139,25.783,1.3385,22.708,69.803,6.286,0.0688,0.0857
PHB_03571,Severe Disease,3,0.3215,0.6894,0.6055,28.009,1.1825,27.633,65.509,6.317,0.0515,0.0736
PHB_02895,Severe Disease,3,0.4329,0.6538,0.533,27.462,1.3972,18.861,67.79,5.928,0.0548,0.0749
PHB_02928,Moderate Illness,2,0.4449,0.5317,0.562,26.8,1.4477,26.213,64.995,6.295,0.051,0.0746
PHB_08179,Moderate Illness,2,0.4755,0.5038,0.5688,25.845,1.3291,25.555,70.483,6.399,0.0417,0.0757
PHB_00972,Healthy,0,0.83,0.1151,0.8233,23.482,1.0222,29.222,56.066,6.483,0.0175,0.0286
PHB_06688,Severe Disease,3,0.2839,0.7134,0.437,27.326,1.2695,27.695,67.725,6.088,0.069,0.0533
PHB_08576,Moderate Illness,2,0.4376,0.4501,0.5783,26.632,1.3552,24.675,67.595,6.585,0.0557,0.0563
PHB_02021,Moderate Illness,2,0.4292,0.5993,0.5349,26.271,1.4215,26.483,55.461,6.036,0.0346,0.0729
PHB_09055,Severe Disease,3,0.3536,0.5971,0.4513,28.417,1.3039,24.615,57.274,6.194,0.0471,0.0746
PHB_00953,Healthy,0,0.8976,0.2239,0.8812,25.591,1.094,22.426,75.407,6.662,0.033,0.0376
PHB_05360,Severe Disease,3,0.3707,0.8434,0.4509,28.002,1.3081,24.33,85.857,6.24,0.0497,0.0604
PHB_03858,Early Disease,1,0.5532,0.3236,0.8231,24.897,1.3787,25.314,81.874,6.548,0.037,0.0446
PHB_05862,Healthy,0,0.9251,0.0784,0.9206,23.271,1.1947,27.951,77.55,6.557,0.0392,0.0281
PHB_03146,Moderate Illness,2,0.529,0.4348,0.6558,25.539,1.3587,26.572,56.691,6.673,0.031,0.0693
PHB_03306,Healthy,0,0.812,0.1777,0.878,24.063,1.1252,30.119,67.512,6.605,0.0462,0.0382
PHB_03007,Moderate Illness,2,0.5291,0.4367,0.5584,26.58,1.0415,22.053,63.328,6.273,0.0445,0.0429
PHB_09002,Healthy,0,0.8238,0.0591,0.7626,25.317,1.1806,24.112,62.849,6.544,0.0018,0.0481
PHB_07771,Healthy,0,0.8186,0.0715,0.7055,25.341,1.1603,24.245,61.38,6.674,0.0313,0.0356
PHB_07439,Healthy,0,0.8014,0.1572,0.9574,23.16,1.2296,23.04,77.073,6.051,0.0081,0.0323
PHB_07943,Moderate Illness,2,0.573,0.5866,0.6324,25.445,1.4125,22.774,58.551,6.684,0.0643,0.075
PHB_09239,Severe Disease,3,0.361,0.7519,0.5193,26.165,1.5008,23.049,63.177,6.5,0.0648,0.0709
PHB_01057,Severe Disease,3,0.3011,0.7273,0.3917,27.076,1.5933,26.165,53.514,6.342,0.0624,0.0526
PHB_03155,Healthy,0,0.8679,0.1463,0.8277,24.733,0.9992,22.933,71.539,6.469,0.0207,0.0417
PHB_03788,Healthy,0,0.8458,0.1756,0.8734,23.871,1.1977,23.77,66.843,6.374,0.0148,0.0377
PHB_09190,Moderate Illness,2,0.4785,0.5539,0.5898,27.296,1.2079,21.859,51.708,6.546,0.0466,0.0538
PHB_07826,Healthy,0,0.788,0.1249,0.8493,25.329,1.1875,26.807,59.201,6.184,0.0249,0.018
PHB_07540,Early Disease,1,0.6646,0.333,0.7309,24.949,1.2152,24.382,64.798,6.369,0.0287,0.0366
PHB_07232,Healthy,0,0.8611,0.1236,0.9068,24.907,0.9765,21.678,73.875,6.463,0.0299,0.04
PHB_00765,Severe Disease,3,0.2475,0.6964,0.5503,26.983,1.2765,23.567,64.749,6.051,0.0622,0.063
PHB_05020,Early Disease,1,0.7346,0.3905,0.7263,24.209,1.1544,27.76,61.389,6.459,0.0289,0.0505
PHB_04904,Severe Disease,3,0.303,0.745,0.4756,27.767,1.2113,26.797,56.069,6.013,0.0845,0.0678
PHB_08094,Severe Disease,3,0.3447,0.7611,0.3999,27.84,1.3738,23.43,67.156,6.456,0.0599,0.0577
PHB_06844,Early Disease,1,0.6901,0.2119,0.5888,24.999,1.1321,25.491,76.875,6.237,0.0375,0.0262
PHB_02166,Early Disease,1,0.6289,0.3303,0.7541,25.197,1.1907,25.707,70.266,6.571,0.0411,0.0671
PHB_01863,Severe Disease,3,0.3219,0.782,0.4965,26.72,1.2106,29.668,65.143,6.109,0.0572,0.0641
PHB_07851,Moderate Illness,2,0.5116,0.5158,0.6295,25.2,1.2795,25.497,54.361,6.02,0.0366,0.0596
PHB_09124,Early Disease,1,0.6977,0.204,0.794,25.679,1.0799,25.068,63.565,6.48,0.0309,0.0548
PHB_02341,Healthy,0,0.9443,0.126,0.8899,25.66,1.2346,27.23,65.868,6.622,0.0333,0.0162
PHB_05528,Healthy,0,0.7424,0.0006,0.9221,24.685,1.4242,26.192,69.087,6.567,0.0017,0.0539
PHB_06744,Healthy,0,0.836,0.1601,0.9161,23.921,1.003,25.976,71.477,6.211,0.018,0.0515
PHB_04004,Healthy,0,0.95,0.1218,0.84,24.833,1.0574,24.022,71.751,6.071,0.0269,0.03
PHB_01124,Healthy,0,0.8059,0.1243,0.7843,24.604,0.9528,24.909,63.328,6.282,0.0252,0.0341
PHB_08710,Early Disease,1,0.5444,0.34,0.7567,25.947,1.3803,25.622,59.657,6.79,0.0226,0.0433
PHB_04050,Moderate Illness,2,0.5347,0.4817,0.5971,27.049,1.3799,26.097,68.654,6.397,0.0528,0.0676
PHB_07641,Healthy,0,0.6847,0.2671,0.83,24.187,1.1439,25.588,70.795,6.711,0.0235,0.0141
PHB_00766,Healthy,0,0.8516,0.1449,0.7087,24.474,1.1591,23.189,67.182,6.623,0.0252,0.0318
PHB_02345,Moderate Illness,2,0.4858,0.4202,0.5303,25.247,1.2596,24.025,70.023,6.397,0.0571,0.0476
PHB_04072,Moderate Illness,2,0.5828,0.5999,0.4964,26.191,1.3658,25.946,76.797,6.317,0.0374,0.0583
PHB_07217,Moderate Illness,2,0.5175,0.4999,0.5922,26.059,1.2295,25.236,58.097,6.511,0.0468,0.0685
PHB_04217,Moderate Illness,2,0.4498,0.5522,0.5677,26.181,1.205,28.038,70.875,6.413,0.0497,0.0384
PHB_07953,Severe Disease,3,0.32,0.6297,0.4299,27.373,1.5005,24.02,52.136,6.383,0.044,0.0664
PHB_05971,Early Disease,1,0.6082,0.3168,0.7676,24.313,1.2643,23.758,84.076,6.351,0.0351,0.044
PHB_03351,Healthy,0,0.763,0.1502,0.7943,25.342,1.0501,26.274,78.648,6.032,0.0161,0.0325
PHB_04696,Moderate Illness,2,0.4652,0.5604,0.6339,26.404,1.2551,24.213,59.319,5.929,0.0465,0.0489
PHB_03400,Moderate Illness,2,0.4772,0.5615,0.5792,27.2,1.0691,24.063,62.881,6.424,0.0399,0.0537
PHB_04082,Early Disease,1,0.5895,0.2993,0.7163,25.001,1.0972,25.409,53.954,6.59,0.054,0.0503
PHB_09150,Healthy,0,0.769,0.1567,0.8556,26.407,1.111,27.819,66.38,6.546,0.0156,0.0536
PHB_01225,Healthy,0,0.8704,0.2412,0.9883,23.638,1.154,27.188,78.542,6.691,0.0289,0.0296
PHB_06293,Severe Disease,3,0.3971,0.7577,0.4751,26.39,1.4889,24.248,62.446,6.344,0.0622,0.0685
PHB_03123,Early Disease,1,0.656,0.3439,0.6823,25.419,0.9973,22.337,69.979,6.289,0.0413,0.0328
PHB_00511,Healthy,0,0.9009,0.1615,0.892,24.471,1.1047,24.758,73.818,6.86,0.0303,0.0529
PHB_05795,Severe Disease,3,0.3411,0.7786,0.5435,27.223,1.4296,25.915,67.454,6.342,0.057,0.0755
PHB_08182,Severe Disease,3,0.4663,0.6439,0.3703,26.928,1.0902,25.379,59.485,6.57,0.0568,0.079
PHB_09418,Moderate Illness,2,0.5601,0.5106,0.6023,27.283,1.4376,26.928,53.808,6.231,0.0399,0.0499
PHB_00097,Early Disease,1,0.6795,0.4259,0.8184,25.912,1.0955,25.019,48.374,6.275,0.0288,0.0527
PHB_06682,Severe Disease,3,0.3362,0.6856,0.4824,27.623,1.1852,24.793,69.096,6.616,0.0682,0.0651
PHB_01513,Moderate Illness,2,0.4779,0.5181,0.5506,26.483,1.236,26.426,72.999,6.124,0.0326,0.0577
PHB_08792,Severe Disease,3,0.3916,0.7296,0.4925,28.69,1.5559,25.399,62.303,6.371,0.0483,0.0611
PHB_00120,Moderate Illness,2,0.4406,0.635,0.5861,27.04,1.195,26.3,63.489,6.271,0.0532,0.0544
PHB_07792,Moderate Illness,2,0.5077,0.4942,0.6184,25.37,1.3955,18.95,46.685,6.175,0.0421,0.0519
PHB_06518,Moderate Illness,2,0.5524,0.484,0.6081,27.091,1.4176,25.57,67.91,6.374,0.0538,0.0365
PHB_00034,Early Disease,1,0.7007,0.4123,0.6661,24.608,1.1645,22.432,44.655,6.262,0.0432,0.0322
PHB_07888,Healthy,0,0.8125,0.1751,0.8183,24.984,1.1816,28.571,58.654,6.276,0.0124,0.0222
PHB_06831,Early Disease,1,0.6253,0.2549,0.724,25.117,1.3121,23.088,57.017,6.778,0.0478,0.048
PHB_05422,Early Disease,1,0.6109,0.3306,0.8565,24.938,1.207,23.977,64.82,6.344,0.03,0.0563
PHB_01069,Healthy,0,0.8495,0.1425,0.934,24.349,1.2558,22.503,62.624,6.511,0.0226,0.0216
PHB_01348,Early Disease,1,0.6645,0.3099,0.6521,25.999,0.9728,26.297,59.485,6.619,0.0315,0.0555
PHB_04748,Moderate Illness,2,0.5545,0.5351,0.5515,26.218,1.2574,27.157,68.495,6.377,0.0401,0.0528
PHB_06006,Early Disease,1,0.5907,0.3852,0.7913,25.172,1.2674,27.193,62.934,6.37,0.0441,0.0537
PHB_06040,Early Disease,1,0.6071,0.182,0.8569,23.706,1.2303,21.912,76.78,6.28,0.0407,0.0509
PHB_03818,Early Disease,1,0.6398,0.2685,0.7663,25.687,1.1992,27.388,63.734,6.484,0.0504,0.0437
PHB_08447,Early Disease,1,0.7287,0.2732,0.7335,25.779,1.497,22.516,55.406,6.441,0.0444,0.0361
PHB_05270,Early Disease,1,0.7185,0.2835,0.7469,25.636,1.1551,26.385,70.978,6.311,0.0288,0.0744
PHB_06898,Healthy,0,0.7794,0.1161,0.812,24.182,0.9575,27.452,74.822,6.738,0.0228,0.0365
PHB_05310,Early Disease,1,0.554,0.3268,0.7228,27.213,1.1351,28.377,66.891,6.733,0.0452,0.0488
PHB_00032,Severe Disease,3,0.358,0.7853,0.52,28.657,1.4469,23.041,54.597,6.408,0.048,0.1
PHB_05675,Moderate Illness,2,0.5107,0.5402,0.4877,25.692,1.4269,25.533,71.89,6.239,0.0495,0.0518
PHB_04387,Early Disease,1,0.7491,0.394,0.737,25.553,1.0948,23.194,69.402,6.476,0.0472,0.0286
PHB_00030,Moderate Illness,2,0.5497,0.5012,0.5707,25.272,1.2995,28.076,54.37,6.197,0.0414,0.0606
PHB_04203,Healthy,0,0.9194,0.1244,0.9238,24.46,1.214,21.497,71.737,6.494,0.0318,0.033
PHB_07508,Severe Disease,3,0.3334,0.7114,0.4452,27.589,1.2953,26.609,75.185,6.275,0.0642,0.0639
PHB_00736,Moderate Illness,2,0.5579,0.5777,0.623,26.439,1.168,26.658,60.707,6.13,0.0452,0.0764
PHB_02068,Severe Disease,3,0.2357,0.6876,0.5292,28.042,1.442,24.789,59.675,6.277,0.0525,0.0563
PHB_00107,Early Disease,1,0.5682,0.3323,0.621,25.075,1.2436,21.006,66.515,5.994,0.0346,0.0472
PHB_09645,Severe Disease,3,0.3526,0.6793,0.6862,27.623,1.4232,25.032,66.704,6.633,0.0586,0.0788
PHB_08895,Early Disease,1,0.623,0.3476,0.7072,25.876,1.1866,23.481,58.068,5.984,0.0403,0.0339
PHB_08021,Healthy,0,0.7598,0.0177,0.937,23.717,0.8606,25.627,71.549,6.4,0.0505,0.0448
PHB_02233,Healthy,0,0.8085,0.1136,0.8845,25.1,1.1983,26.49,61.695,6.162,0.0207,0.0527
PHB_00994,Healthy,0,0.8646,0.1911,0.9371,24.475,1.0002,24.693,71.902,6.685,0.0294,0.0489
PHB_09413,Healthy,0,0.8977,0.1275,0.9687,24.792,0.9748,29.806,68.213,6.404,0.004,0.0201
PHB_07059,Moderate Illness,2,0.4542,0.5331,0.4481,25.26,1.1741,26.795,53.869,6.559,0.0406,0.0593
PHB_06790,Severe Disease,3,0.3113,0.7418,0.4618,28.242,1.395,29.951,60.688,6.382,0.0681,0.0825
PHB_00361,Severe Disease,3,0.4084,0.832,0.4286,26.082,1.5086,25.709,60.011,6.335,0.0733,0.0745
PHB_00305,Severe Disease,3,0.2671,0.7228,0.5512,27.826,1.6469,24.143,67.318,6.156,0.0451,0.0732
PHB_02628,Early Disease,1,0.6012,0.407,0.7529,26.399,1.3045,26.835,69.517,6.241,0.0396,0.0398
PHB_08966,Healthy,0,0.7146,0.039,0.8797,25.094,1.0001,25.845,58.539,6.593,0.0416,0.0376
PHB_04514,Healthy,0,0.7911,0.1802,0.9704,25.257,1.0148,21.262,65.037,6.039,0.022,0.0378
PHB_05911,Severe Disease,3,0.3083,0.8121,0.4229,26.979,1.2926,24.414,59.683,5.885,0.0639,0.0716
PHB_08314,Early Disease,1,0.6608,0.3298,0.6814,25.143,1.0997,23.362,73.002,6.544,0.0475,0.0347
PHB_03101,Severe Disease,3,0.279,0.7054,0.3976,27.946,1.2922,26.591,52.006,5.725,0.056,0.0658
PHB_05704,Severe Disease,3,0.3471,0.7067,0.5134,27.878,1.3819,20.706,55.776,5.979,0.0439,0.0659
PHB_03899,Healthy,0,0.6893,0.0883,0.8631,24.504,1.0262,25.397,66.942,6.378,0.0331,0.0229
PHB_05441,Healthy,0,0.8581,0.1003,0.847,24.497,1.1239,24.721,70.835,6.324,0.0395,0.0338
PHB_07931,Early Disease,1,0.6414,0.3165,0.8498,26.329,1.1792,28.207,63.779,6.511,0.0189,0.0573
PHB_00622,Early Disease,1,0.6881,0.4007,0.8498,25.166,1.0827,23.374,74.737,6.586,0.0167,0.052
PHB_07236,Severe Disease,3,0.3462,0.6517,0.5103,28.333,1.4031,25.365,63.053,6.266,0.0405,0.0591
PHB_02499,Severe Disease,3,0.2652,0.6663,0.4709,27.292,1.1777,27.565,55.646,6.334,0.0515,0.066
PHB_00714,Severe Disease,3,0.3438,0.7317,0.5321,26.876,1.5536,26.554,50.253,6.27,0.0537,0.0757
PHB_08404,Severe Disease,3,0.2847,0.7838,0.3756,27.269,1.4091,20.079,74.598,6.135,0.0577,0.1
PHB_02856,Severe Disease,3,0.4589,0.8007,0.4248,27.036,1.6825,27.481,53.122,6.284,0.0677,0.0442
PHB_04270,Severe Disease,3,0.3467,0.7145,0.4594,26.993,1.3516,20.772,64.057,6.032,0.0544,0.0926
PHB_02909,Severe Disease,3,0.2465,0.6416,0.3895,26.433,1.4978,22.109,55.234,6.397,0.0701,0.0591
PHB_08081,Healthy,0,0.8298,0.0139,0.8719,23.893,1.1735,27.878,64.387,6.316,0.0124,0.0304
PHB_04517,Early Disease,1,0.6539,0.3788,0.8296,26.055,1.24,21.094,74.763,6.342,0.0211,0.0645
PHB_01262,Early Disease,1,0.6208,0.2172,0.7216,25.339,1.1724,26.294,72.172,6.711,0.0469,0.0442
PHB_03161,Severe Disease,3,0.3602,0.6786,0.541,27.764,1.4499,24.67,59.877,6.213,0.0556,0.0636
PHB_00971,Early Disease,1,0.6162,0.3743,0.7308,24.924,1.1988,27.144,64.813,6.102,0.0278,0.0374
PHB_03913,Severe Disease,3,0.3586,0.7718,0.4413,27.136,1.2874,25.502,64.76,6.041,0.0439,0.0549
PHB_05199,Severe Disease,3,0.3161,0.7452,0.5176,28.353,1.3721,25.877,73.217,5.526,0.0495,0.0695
PHB_08847,Severe Disease,3,0.4172,0.6749,0.3574,26.138,1.3224,23.352,75.349,6.166,0.0736,0.0681
PHB_00260,Moderate Illness,2,0.4772,0.462,0.5997,24.686,1.4198,23.349,62.349,6.299,0.0357,0.0386
PHB_03791,Healthy,0,0.8306,0.1134,0.9271,25.125,1.0991,26.538,66.203,6.442,0.0087,0.0355
PHB_09203,Early Disease,1,0.7321,0.2717,0.6902,24.07,1.3734,26.149,77.66,6.285,0.0301,0.0385
PHB_00488,Healthy,0,0.825,0.0951,0.8697,24.2,1.2446,25.106,71.09,6.662,0.0227,0.0221
PHB_07908,Severe Disease,3,0.4664,0.6411,0.4567,26.72,1.3541,23.279,56.711,6.471,0.0637,0.0666
PHB_00519,Healthy,0,0.8719,0.0708,0.8804,25.184,0.9499,23.618,63.848,6.247,0.0306,0.025
PHB_08343,Moderate Illness,2,0.4814,0.4209,0.5045,25.704,0.9872,24.717,70.652,6.635,0.0501,0.045
PHB_00312,Early Disease,1,0.596,0.18,0.833,25.006,1.1372,27.66,71.139,6.244,0.0329,0.044
PHB_03232,Healthy,0,0.8486,0.1518,0.9055,24.536,0.9614,22.304,62.587,6.375,0.0267,0.045
PHB_07933,Healthy,0,0.9501,0.0798,0.8341,25.152,1.1692,24.479,60.126,6.487,0.0377,0.0317
PHB_07458,Severe Disease,3,0.362,0.6764,0.4326,27.819,1.3954,28.425,57.675,6.195,0.0526,0.0852
PHB_09784,Healthy,0,0.8122,0.0758,0.8008,25.01,1.1095,24.031,72.534,6.397,0.0229,0.0278
PHB_05184,Moderate Illness,2,0.5044,0.4733,0.664,26.503,1.2073,21.69,85.165,6.279,0.0338,0.0459
PHB_08077,Healthy,0,0.8989,0.1403,0.7856,24.254,0.9824,28.411,65.233,6.3,0.0344,0.042
PHB_06502,Early Disease,1,0.7654,0.3343,0.8681,24.882,1.2405,24.869,68.061,6.471,0.0443,0.0525
PHB_06791,Early Disease,1,0.6901,0.2856,0.6148,25.825,1.122,23.593,69.574,5.874,0.0356,0.0377
PHB_07773,Healthy,0,0.8137,0.1355,0.9066,23.956,1.2661,28.435,56.69,6.751,0.0223,0.0262
PHB_02738,Moderate Illness,2,0.4485,0.544,0.6631,25.989,1.6493,22.892,57.608,6.282,0.0521,0.0569
PHB_07842,Early Disease,1,0.687,0.3026,0.7588,27.015,1.215,22.975,80.001,6.846,0.0376,0.0243
PHB_06262,Healthy,0,0.8685,0.0,0.8468,25.117,0.9159,27.726,65.638,6.587,0.0237,0.0276
PHB_08206,Early Disease,1,0.6792,0.3329,0.7217,25.011,1.2819,27.166,58.107,6.32,0.0469,0.0342
PHB_01248,Healthy,0,0.8405,0.0662,0.9311,23.848,1.3048,24.156,56.992,6.725,0.0217,0.0102
PHB_09336,Severe Disease,3,0.4122,0.8264,0.436,27.551,1.4465,22.654,59.394,6.352,0.0642,0.0643
PHB_04195,Early Disease,1,0.7034,0.3364,0.7345,24.604,1.1163,23.878,85.407,5.932,0.0449,0.0555
