date,crop,plant_id,treatment,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,soil_moisture_pct,soil_temperature_c,soil_ec_us_cm,solar_radiation_w_m2,air_temperature_c,relative_humidity_pct,flower_count,fruit_count,harvested_fruit_count,total_harvest_weight_source_unit,quality_flag
2023-11-09,Tomato,55,T4_N0P1K0,24.0,33.0,68.0,6.77,17.5,38.1,333.0,58.7,28.0,45.1,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,60,T27_N2P2K2,14.0,20.0,40.0,6.43,19.3,37.1,201.0,62.6,27.9,44.2,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,65,T3_N0P0K2,0.0,0.0,1.0,7.0,12.2,38.3,8.0,52.0,26.4,46.2,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-09,Tomato,70,T22_N2P1K0,5.0,7.0,14.0,6.68,8.9,38.3,73.0,59.5,26.6,46.2,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,75,T4_N0P1K0,2.0,3.0,6.0,6.42,11.7,39.5,30.0,58.3,27.3,44.2,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,80,T22_N2P1K0,3.0,5.0,10.0,6.29,0.4,40.7,55.0,53.9,27.9,43.4,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,85,T17_N1P2K1,4.0,6.0,13.0,7.0,15.5,36.9,65.0,39.8,26.4,46.6,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,90,T4_N0P1K0,5.0,7.0,16.0,6.8,16.4,35.5,81.0,50.7,26.2,45.9,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,95,T2_N0P0K1,9.0,13.0,27.0,6.7,15.3,34.7,133.0,51.6,26.3,44.2,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,100,T1_N0P0K0,0.0,0.0,0.0,7.0,1.1,34.7,0.0,54.9,26.0,46.3,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-09,Tomato,105,T19_N2P0K0,7.0,10.0,20.0,6.39,14.7,37.1,101.0,56.8,27.1,44.5,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,110,T25_N2P2K0,4.0,5.0,11.0,6.48,16.4,33.5,56.0,34.8,24.9,49.0,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,115,T19_N2P0K0,0.0,0.0,0.0,8.26,15.3,35.1,177.0,26.3,25.3,46.7,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-09,Tomato,120,T18_N1P2K2,16.0,22.0,45.0,6.41,13.0,35.5,228.0,26.0,25.9,43.6,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,125,T16_N1P2K0,11.0,16.0,33.0,6.45,15.5,36.7,164.0,36.0,27.4,42.4,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,125,T16_N1P2K0,0.0,0.0,0.0,7.0,1.4,37.5,0.0,43.1,27.5,42.9,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-09,Tomato,130,T13_N1P1K0,3.0,5.0,10.0,6.68,15.4,31.5,50.0,26.0,24.7,47.0,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,135,T20_N2P0K1,6.0,8.0,17.0,6.68,17.7,31.1,88.0,24.8,24.5,50.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,1,T26_N2P2K1,16.0,23.0,45.0,6.82,5.0,26.9,234.0,48.6,26.0,57.3,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,2,T6_N0P1K2,26.0,37.0,74.0,6.58,7.6,31.4,370.0,19.4,24.5,58.7,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,5,T18_N1P2K2,5.0,7.0,15.0,6.82,7.6,32.5,74.0,66.3,28.1,48.0,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,6,T7_N0P2K0,3.0,4.0,9.0,6.6,0.6,32.2,45.0,19.5,24.8,56.6,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,10,T19_N2P0K0,2.0,3.0,6.0,7.39,1.2,32.8,34.0,66.3,27.9,49.8,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,11,T6_N0P1K2,2.0,3.0,7.0,6.48,0.0,32.2,39.0,20.2,25.0,55.2,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,15,T13_N1P1K0,28.0,39.0,79.0,6.74,5.9,30.4,402.0,66.3,28.2,48.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,16,T3_N0P0K2,15.0,21.0,44.0,6.65,0.1,33.0,217.0,20.1,25.2,54.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,20,T5_N0P1K1,21.0,30.0,61.0,6.72,7.7,29.2,306.0,70.3,29.4,46.3,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,21,T25_N2P2K0,18.0,25.0,52.0,6.63,0.1,33.8,261.0,19.3,25.2,51.9,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,25,T8_N0P2K1,0.0,0.0,0.0,7.0,4.3,29.2,0.0,69.6,31.9,42.2,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,26,T25_N2P2K0,0.0,0.0,0.0,6.68,3.2,34.2,0.0,20.0,27.1,47.5,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,30,T2_N0P0K1,7.0,10.0,20.0,6.74,3.6,28.8,102.0,69.5,31.3,43.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,31,T15_N1P1K2,11.0,16.0,32.0,6.55,0.2,33.8,159.0,19.8,26.5,50.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,35,T24_N2P1K2,10.0,14.0,29.0,6.71,14.9,28.4,146.0,69.6,30.8,42.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,36,T23_N2P1K1,7.0,10.0,21.0,6.67,6.1,33.0,110.0,20.1,25.9,49.6,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,40,T10_N1P0K0,5.0,7.0,15.0,6.65,0.4,29.2,77.0,73.2,30.1,45.3,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,41,T9_N0P2K2,9.0,13.0,28.0,6.58,2.0,33.5,141.0,20.3,25.5,51.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,45,T22_N2P1K0,30.0,42.0,85.0,6.87,16.8,26.8,425.0,63.7,32.4,39.7,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,46,T6_N0P1K2,7.0,10.0,21.0,6.52,7.1,33.8,109.0,71.1,28.2,47.9,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,51,T4_N0P1K0,16.0,23.0,46.0,6.56,5.4,35.0,234.0,43.2,28.3,46.8,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,56,T12_N1P0K2,0.0,1.0,2.0,6.51,2.2,36.2,11.0,83.4,28.4,48.5,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,61,T2_N0P0K1,1.0,2.0,4.0,6.69,2.9,35.0,23.0,90.6,28.3,46.8,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,65,T3_N0P0K2,4.0,5.0,11.0,6.83,9.7,28.0,58.0,30.8,32.8,38.0,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,66,T8_N0P2K1,5.0,8.0,16.0,6.34,19.5,28.6,0.0,59.0,26.7,53.8,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,66,T8_N0P2K1,2.0,3.0,7.0,6.39,19.3,29.4,39.0,65.5,27.0,51.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,70,T22_N2P1K0,19.0,26.0,52.0,6.86,11.5,28.8,263.0,69.6,32.9,38.2,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,71,T5_N0P1K1,0.0,0.0,0.0,6.53,2.4,30.5,0.0,76.3,27.5,50.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,75,T4_N0P1K0,0.0,14.0,29.0,7.25,12.3,28.4,148.0,72.3,32.9,38.0,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,76,T23_N2P1K1,10.0,14.0,27.0,6.53,0.0,31.4,140.0,80.2,27.9,48.7,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,80,T22_N2P1K0,3.0,4.0,8.0,6.68,0.1,30.4,42.0,69.4,32.9,37.3,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,81,T12_N1P0K2,19.0,27.0,55.0,6.52,8.3,33.8,278.0,91.5,28.2,48.9,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,85,T17_N1P2K1,32.0,45.0,90.0,6.78,12.6,27.2,450.0,71.8,32.2,41.4,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,86,T2_N0P0K1,17.0,24.0,49.0,6.62,15.4,29.7,248.0,47.4,27.9,50.9,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,90,T4_N0P1K0,21.0,29.0,60.0,6.8,15.3,27.6,298.0,75.1,32.0,38.6,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,91,T10_N1P0K0,28.0,39.0,79.0,6.78,14.2,30.9,395.0,23.5,28.3,47.9,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,95,T2_N0P0K1,26.0,37.0,75.0,6.61,10.3,28.0,378.0,73.5,32.2,39.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,96,T6_N0P1K2,45.0,63.0,126.0,6.56,10.1,30.9,634.0,29.2,29.0,48.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,100,T1_N0P0K0,12.0,17.0,34.0,6.67,11.6,28.8,171.0,76.8,32.8,34.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,101,T24_N2P1K2,2.0,3.0,7.0,6.55,0.0,32.9,39.0,24.0,29.5,46.1,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,105,T19_N2P0K0,27.0,38.0,77.0,6.57,8.0,30.0,385.0,78.7,33.0,39.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,106,T21_N2P0K2,21.0,29.0,59.0,6.42,17.3,29.0,296.0,73.3,26.3,55.0,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,110,T25_N2P2K0,28.0,39.0,78.0,6.78,18.4,27.2,395.0,76.8,32.2,40.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,111,T15_N1P1K2,23.0,32.0,65.0,6.66,19.2,28.4,329.0,74.8,30.7,38.1,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,115,T19_N2P0K0,27.0,38.0,76.0,6.88,12.8,27.6,380.0,76.9,32.6,38.4,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,116,T26_N2P2K1,26.0,36.0,73.0,6.79,9.4,29.2,371.0,77.5,30.7,39.8,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,120,T18_N1P2K2,9.0,12.0,25.0,6.74,10.5,28.4,128.0,82.5,32.3,35.2,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,121,T16_N1P2K0,0.0,1.0,2.0,6.7,2.8,30.0,11.0,34.2,29.5,43.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-16,Tomato,125,T16_N1P2K0,20.0,29.0,58.0,6.71,15.7,28.4,294.0,83.6,31.6,38.5,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,126,T24_N2P1K2,33.0,46.0,91.0,6.6,17.8,32.9,460.0,91.3,29.9,45.0,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,130,T13_N1P1K0,33.0,47.0,94.0,6.74,15.7,27.6,472.0,76.9,30.1,35.8,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,131,T15_N1P1K2,28.0,39.0,78.0,6.65,13.2,27.6,395.0,78.5,30.4,39.8,0.0,0.0,0.0,0.0,ok
2023-11-16,Tomato,135,T20_N2P0K1,30.0,43.0,85.0,6.87,18.9,28.0,429.0,77.1,30.9,37.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,1,T26_N2P2K1,13.0,19.0,38.0,6.37,19.5,25.9,191.0,68.2,29.8,42.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,1,T26_N2P2K1,13.0,19.0,38.0,6.37,19.5,25.9,191.0,68.2,29.8,42.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,2,T6_N0P1K2,14.0,20.0,40.0,6.69,14.5,34.3,203.0,34.0,28.8,43.5,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,5,T18_N1P2K2,12.0,18.0,36.0,6.79,5.7,28.3,178.0,29.7,30.8,40.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,5,T18_N1P2K2,12.0,18.0,36.0,6.79,5.7,28.3,178.0,29.7,30.8,40.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,6,T7_N0P2K0,10.0,15.0,30.0,6.64,0.2,33.5,153.0,30.4,28.6,42.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,10,T19_N2P0K0,1.0,1.0,3.0,6.83,0.0,29.9,17.0,30.1,29.9,40.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,10,T19_N2P0K0,1.0,1.0,3.0,6.83,0.0,29.9,17.0,30.1,29.9,40.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,11,T6_N0P1K2,2.0,3.0,7.0,6.63,4.9,32.3,39.0,39.8,28.3,43.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,15,T13_N1P1K0,7.0,10.0,21.0,7.0,0.0,29.9,110.0,21.1,28.7,43.1,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,15,T13_N1P1K0,7.0,10.0,21.0,7.0,0.0,29.9,110.0,21.1,28.7,43.1,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,16,T3_N0P0K2,30.0,42.0,85.0,6.56,0.0,31.9,431.0,35.3,28.0,46.2,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,20,T5_N0P1K1,64.0,92.0,171.0,6.69,13.0,29.9,923.0,20.7,27.9,46.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,20,T5_N0P1K1,64.0,92.0,171.0,6.69,13.0,29.9,923.0,20.7,27.9,46.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,21,T25_N2P2K0,12.0,17.0,34.0,6.68,0.0,32.7,174.0,26.6,28.1,47.2,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,25,T8_N0P2K1,0.0,0.0,0.0,6.62,1.8,31.5,0.0,75.5,27.0,48.7,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,25,T8_N0P2K1,0.0,0.0,0.0,6.62,1.8,31.5,0.0,75.5,27.0,48.7,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,26,T25_N2P2K0,0.0,0.0,1.0,6.6,3.8,33.9,7.0,63.2,29.4,41.3,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,30,T2_N0P0K1,29.0,41.0,84.0,6.78,14.4,31.5,420.0,79.1,26.6,48.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,30,T2_N0P0K1,29.0,41.0,84.0,6.78,14.4,31.5,420.0,79.1,26.6,48.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,31,T15_N1P1K2,0.0,0.0,0.0,7.0,0.2,31.1,0.0,60.4,30.3,39.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,31,T15_N1P1K2,18.0,25.0,50.0,6.6,0.0,32.3,253.0,60.7,29.6,41.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,35,T24_N2P1K2,2.0,4.0,8.0,6.69,13.8,31.0,41.0,23.1,26.8,49.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,35,T24_N2P1K2,2.0,4.0,8.0,6.69,13.8,31.0,41.0,23.1,26.8,49.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,36,T23_N2P1K1,15.0,21.0,43.0,6.51,20.5,30.7,217.0,72.0,30.5,41.9,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,40,T10_N1P0K0,25.0,35.0,71.0,6.72,13.0,30.2,358.0,47.4,27.5,47.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,40,T10_N1P0K0,25.0,35.0,71.0,6.72,13.0,30.2,358.0,47.4,27.5,47.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,41,T9_N0P2K2,1.0,1.0,3.0,6.65,3.8,33.5,17.0,82.3,30.6,40.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,45,T22_N2P1K0,28.0,39.0,79.0,6.69,7.4,31.7,387.0,80.6,27.2,48.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,45,T22_N2P1K0,28.0,39.0,79.0,6.69,7.4,31.7,387.0,80.6,27.2,48.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,50,T10_N1P0K0,14.0,19.0,39.0,6.81,11.8,32.3,196.0,29.2,27.7,47.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,50,T10_N1P0K0,14.0,19.0,39.0,6.81,11.8,32.3,196.0,29.2,27.7,47.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,55,T4_N0P1K0,22.0,31.0,62.0,6.8,18.6,30.7,310.0,93.3,28.0,46.5,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,55,T4_N0P1K0,22.0,31.0,62.0,6.8,18.6,30.7,310.0,93.3,28.0,46.5,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,60,T27_N2P2K2,14.0,20.0,41.0,6.86,18.0,31.5,203.0,78.4,28.7,42.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,60,T27_N2P2K2,14.0,20.0,41.0,6.86,18.0,31.5,203.0,78.4,28.7,42.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,61,T2_N0P0K1,19.0,26.0,53.0,6.63,3.8,32.3,274.0,67.0,30.3,41.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,65,T3_N0P0K2,7.0,10.0,21.0,6.73,13.4,30.3,109.0,67.8,29.2,41.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,65,T3_N0P0K2,7.0,10.0,21.0,6.73,13.4,30.3,109.0,67.8,29.2,41.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,66,T8_N0P2K1,16.0,22.0,45.0,6.56,22.2,31.1,228.0,72.2,27.5,47.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,70,T22_N2P1K0,27.0,38.0,77.0,6.62,17.6,30.3,386.0,68.1,29.7,40.9,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,70,T22_N2P1K0,27.0,38.0,77.0,6.62,17.6,30.3,386.0,68.1,29.7,40.9,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,71,T5_N0P1K1,0.0,0.0,0.0,7.0,0.0,35.9,0.0,67.8,27.5,47.7,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,75,T4_N0P1K0,13.0,19.0,38.0,6.58,17.5,30.7,192.0,79.1,29.9,42.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,75,T4_N0P1K0,13.0,19.0,38.0,6.58,17.5,30.7,192.0,79.1,29.9,42.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,76,T23_N2P1K1,7.0,10.0,20.0,6.71,0.0,35.5,104.0,63.7,28.2,45.3,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-23,Tomato,80,T22_N2P1K0,21.0,30.0,60.0,6.54,14.8,31.1,300.0,26.8,30.3,41.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,80,T22_N2P1K0,21.0,30.0,60.0,6.54,14.8,31.1,300.0,26.8,30.3,41.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,81,T12_N1P0K2,31.0,44.0,88.0,6.67,16.8,31.9,442.0,73.0,29.2,43.3,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,85,T17_N1P2K1,45.0,63.0,127.0,6.61,20.1,28.3,635.0,71.6,26.9,46.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,85,T17_N1P2K1,45.0,63.0,127.0,6.61,20.1,28.3,635.0,71.6,26.9,46.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,86,T2_N0P0K1,31.0,44.0,88.0,6.57,17.6,30.3,446.0,50.1,27.9,48.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,90,T4_N0P1K0,19.0,26.0,53.0,6.62,19.5,31.1,269.0,78.2,27.3,49.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,90,T4_N0P1K0,19.0,26.0,53.0,6.62,19.5,31.1,269.0,78.2,27.3,49.2,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,91,T10_N1P0K0,24.0,35.0,70.0,6.75,14.6,29.9,349.0,54.9,27.4,47.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,95,T2_N0P0K1,32.0,45.0,91.0,6.57,14.3,31.1,458.0,62.1,28.5,44.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,95,T2_N0P0K1,32.0,45.0,91.0,6.57,14.3,31.1,458.0,62.1,28.5,44.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,96,T6_N0P1K2,28.0,39.0,80.0,7.0,17.2,29.9,402.0,55.2,26.7,49.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,100,T1_N0P0K0,4.0,6.0,13.0,6.69,5.7,29.9,69.0,76.0,28.2,45.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,100,T1_N0P0K0,4.0,6.0,13.0,6.69,5.7,29.9,69.0,76.0,28.2,45.4,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,101,T24_N2P1K2,24.0,34.0,67.0,6.87,14.0,29.5,337.0,58.5,25.8,52.5,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,105,T19_N2P0K0,45.0,64.0,128.0,6.57,11.1,30.7,640.0,78.5,28.1,43.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,105,T19_N2P0K0,45.0,64.0,128.0,6.57,11.1,30.7,640.0,78.5,28.1,43.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,106,T21_N2P0K2,16.0,22.0,45.0,6.7,21.8,30.3,231.0,56.5,27.3,48.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,110,T25_N2P2K0,24.0,34.0,68.0,6.78,18.5,27.9,342.0,81.1,27.9,44.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,110,T25_N2P2K0,24.0,34.0,68.0,6.78,18.5,27.9,342.0,81.1,27.9,44.8,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,111,T15_N1P1K2,22.0,30.0,61.0,6.59,17.4,25.9,308.0,59.5,24.9,55.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,115,T19_N2P0K0,30.0,42.0,85.0,6.87,17.9,29.1,427.0,74.2,28.2,42.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,115,T19_N2P0K0,30.0,42.0,85.0,6.87,17.9,29.1,427.0,74.2,28.2,42.7,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,116,T26_N2P2K1,29.0,40.0,81.0,7.98,14.3,27.1,407.0,12.8,24.6,55.1,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,120,T18_N1P2K2,23.0,33.0,66.0,6.71,14.3,29.5,333.0,78.5,28.0,45.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,120,T18_N1P2K2,23.0,33.0,66.0,6.71,14.3,29.5,333.0,78.5,28.0,45.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,121,T16_N1P2K0,25.0,35.0,71.0,6.76,9.9,27.1,359.0,13.7,24.2,56.6,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,125,T16_N1P2K0,20.0,29.0,58.0,6.56,19.0,30.3,294.0,84.0,28.2,44.1,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,125,T16_N1P2K0,20.0,29.0,58.0,6.56,19.0,30.3,294.0,84.0,28.2,44.1,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,126,T24_N2P1K2,21.0,29.0,60.0,6.7,21.7,28.8,300.0,55.0,24.5,58.5,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,130,T13_N1P1K0,29.0,41.0,82.0,6.79,12.1,28.3,410.0,36.3,27.2,44.0,0.0,0.0,0.0,0.0,ok
2023-11-23,Tomato,130,T13_N1P1K0,29.0,41.0,82.0,6.79,12.1,28.3,410.0,36.3,27.2,44.0,0.0,0.0,0.0,0.0,ok
